BARREL,Count
1,14
2,8
6,1
8,6
9,6
14,5
15,3
16,1
17,15
18,6
23,3
25,22
26,7
27,4
30,5
31,4
39,3
42,9
49,5
51,8
53,3
54,6
56,14
60,10
62,6
65,13
69,8
70,6
71,6
72,7
75,3
76,12
78,3
79,4
85,3
86,3
87,9
88,11
91,10
94,5
99,16
101,17
104,13
107,5
109,9
112,10
115,20
118,5
120,7
124,7
125,4
128,8
131,4
132,5
135,7
143,8
145,11
146,11
147,8
150,29
154,9
155,4
158,8
160,4
